Объединение;Склад;Товар (код);Товар;Штрихкод;Бренд;Категория 1;Категория 2;Страна;Физ.доступно, шт.;Заказано, шт.;Резерв, шт.;Кол-во SKU, шт.;Себестоимость (без НДС), руб.;Себестоимость (с НДС), руб.;Себестоимость (без НДС), валюта;Себестоимость (с НДС), валюта
;;;;;;;;;504799;116101;14419;134;296220507;354680919,6;335856823,8;399031428
КЗН Пушкина;117;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;17;0;1;1;12649,11;15178,932;12649,11;15178,932
НСК Красный;118;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;29;0;0;1;20399,58;24479,496;20399,58;24479,496
НСК Красный;108;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;11;0;0;1;7737,77;9285,324;7737,77;9285,324
ЕКБ Пассаж;110;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;27;0;0;1;19216,15;23059,38;19216,15;23059,38
ЕКБ Пассаж;120;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;6;0;0;1;4337,61;5205,132;4337,61;5205,132
ЕКБ Пассаж;110-НИЗ;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;2;0;0;1;1406,87;1688,244;1406,87;1688,244
ЕКБ Большой;111;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;20;0;0;1;14013,49;16816,188;14013,49;16816,188
ЕКБ Большой;119;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;17;0;0;1;11995,65;14394,78;11995,65;14394,78
МСК Кунцево;114;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;7;0;0;1;4902,63;5883,156;4902,63;5883,156
МСК Кунцево;113;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;0;13;0;0;0;0;0;0
МСК Афимолл;116;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;26;0;0;1;18267,03;21920,436;18267,03;21920,436
САМ Коммунистическая;122;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;11;0;0;1;7730,31;9276,372;7730,31;9276,372
САМ Коммунистическая;123;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;11;0;0;1;7726,45;9271,74;7726,45;9271,74
РНД Горизонт;126;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;32;0;0;1;22725,04;27270,048;22725,04;27270,048
РНД Горизонт;127;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;6;0;1;1;4880,67;5856,804;4880,67;5856,804
ЧЛБ Сони Кривой;135;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;7;0;0;1;4924,04;5908,848;4924,04;5908,848
ЧЛБ Сони Кривой;134;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;0;13;0;0;0;0;0;0
КРК Планета;136;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;19;0;0;1;13365,23;16038,276;13365,23;16038,276
КРК Планета;137;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;7;0;0;1;4924,04;5908,848;4924,04;5908,848
УФА Планета магазин;138;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;13;0;0;1;9139,21;10967,052;9139,21;10967,052
УФА Планета магазин;139;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;7;0;0;1;4918,23;5901,876;4918,23;5901,876
МСК Метрополис;141;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;17;0;0;1;12077,06;14492,472;12077,06;14492,472
МСК Метрополис;142;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;15;0;0;1;10630,89;12757,068;10630,89;12757,068
МСК Европейский магазин;144;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;11;0;0;1;7701,34;9241,608;7701,34;9241,608
МСК Европейский магазин;145;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;6;0;0;1;4218,57;5062,284;4218,57;5062,284
ВРН Галерея Чижова магазин;147;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;8;0;0;1;5652,76;6783,312;5652,76;6783,312
ВРН Галерея Чижова магазин;146;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;6;0;0;1;4257,84;5109,408;4257,84;5109,408
МСК Авиапарк магазин;148;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;0;20;0;0;0;0;0;0
МСК Саларис;151;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;34;0;0;1;24140,57;28968,684;24140,57;28968,684
МСК Саларис;152;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;5;0;0;1;3546,17;4255,404;3546,17;4255,404
СПБ Невский;154;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;13;0;2;1;10567,53;12681,036;10567,53;12681,036
СПБ Галерея;156;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;12;0;0;1;8426,19;10111,428;8426,19;10111,428
ХБР Броско Молл;160;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;1;0;0;1;703,43;844,116;703,43;844,116
ХБР Броско Молл;161;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;0;29;0;0;0;0;0;0
САР Триумф Молл;164;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;21;0;0;1;14772,1;17726,52;14772,1;17726,52
САР Триумф Молл;163;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;10;0;0;1;7034,34;8441,208;7034,34;8441,208
ННВ Небо;165;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;4;0;0;1;2811,47;3373,764;2811,47;3373,764
ННВ Небо;166;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;0;5;0;0;0;0;0;0
КЗН Казань молл;167;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;9;0;0;1;6325,63;7590,756;6325,63;7590,756
КЗН Казань молл;168;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;2;0;0;1;1405,51;1686,612;1405,51;1686,612
ВЛГ Ворошиловский;172;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;22;0;0;1;15475,53;18570,636;15475,53;18570,636
ВЛГ Ворошиловский;173;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;7;0;0;1;4924,04;5908,848;4924,04;5908,848
ПРМ Планета;175;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;6;0;0;1;4256,07;5107,284;4256,07;5107,284
МСК Европолис;177;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;7;0;0;1;4954,51;5945,412;4954,51;5945,412
МСК Европолис;176;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;2;11;0;1;1389,73;1667,676;1389,73;1667,676
Сочи Море Молл;179;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;6;0;0;1;4244,94;5093,928;4244,94;5093,928
Мнс Галерея;180;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Беларусь;18;0;0;1;13861,22052;16633,46462;495,01;594,012
Мнс Галерея;181;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Беларусь;11;0;1;1;9999,47849;11999,37419;357,1;428,52
ПРМ Эспланада;183;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;12;0;0;1;8441,21;10129,452;8441,21;10129,452
ПРМ Эспланада;182;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;2;0;0;1;1406,86;1688,232;1406,86;1688,232
МСК Неглинная;184;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;35;0;0;1;24858,34;29830,008;24858,34;29830,008
МСК Неглинная;185;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;11;0;0;1;7765,13;9318,156;7765,13;9318,156
МСК Павелецкая;187;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;3;0;0;1;2135,12;2562,144;2135,12;2562,144
КРД Галерея магазин;188;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;20;0;0;1;14114,81;16937,772;14114,81;16937,772
КРД Галерея магазин;189;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;5;0;0;1;3543,47;4252,164;3543,47;4252,164
ИРК Модный квартал;191;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;8;0;0;1;5627,48;6752,976;5627,48;6752,976
ИРК Модный квартал;190;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;6;0;0;1;4220,6;5064,72;4220,6;5064,72
KZ ШМК Шымкент Плаза;194;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;8;0;0;1;6311,67876;7069,080212;32189,14;36051,8368
KZ ШМК Шымкент Плаза;193;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;7;0;0;1;5522,711562;6185,43695;28165,46;31545,3152
KZ АЛМ Мега;195;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;13;0;0;1;10138,29752;11354,89322;51704,64;57909,1968
KZ АЛМ Мега;196;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;10;0;0;1;7998,649879;8958,487864;40792,58;45687,6896
KZ АЛМ Мега;195-ИНВ;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;1;0;0;1;872,0682867;976,7164811;4447,49;4981,1888
KZ АЛМ Достык Плаза;198;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;14;0;0;1;11045,42116;12370,8717;56330,91;63090,6192
KZ АСТ Мега;199;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;17;0;0;1;13412,30315;15021,77953;68401,85;76610,072
KZ АСТ Мега;200;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;3;0;0;1;2366,897673;2650,925393;12071,02;13519,5424
МСК РЦ E-com;222;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;7;0;0;1;5627,47;6752,964;5627,47;6752,964
СПБ РЦ;223;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;2;0;0;1;1404,11;1684,932;1404,11;1684,932
Интернет-магазин ФМ;225;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;44;0;1;1;31654,5;37985,4;31654,5;37985,4
РЦ ИМ Краснодар;228;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;3;0;0;1;2110,3;2532,36;2110,3;2532,36
НСК РЦ;229;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;1;2;0;1;703,43;844,116;703,43;844,116
ИМ Беларусь;250;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Беларусь;6;2;0;1;4545,828446;5454,994135;162,34;194,808
ИМ Казахстан;277;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;5;0;0;1;3944,794813;4418,170191;20118,19;22532,3728
ЕКБ Фотостудия;301;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;0;0;0;1;0,01;0,012;0,01;0,012
ЕКБ Видеостудия;306;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;3;0;0;1;1569,4;1883,28;1569,4;1883,28
МСК Реклама и маркетинг;315;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;30;0;0;1;18657,57;22389,084;18657,57;22389,084
МСК Реклама и маркетинг;315-FOC;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;0;20;0;0;0;0;0;0
МСК Ангара BOX;401;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;5;0;0;1;3537,86;4245,432;3537,86;4245,432
МСК Афимолл BOX;402;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;3;0;1;1;2801,34;3361,608;2801,34;3361,608
НСК Галерея BOX;404;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;3;0;0;1;2109,28;2531,136;2109,28;2531,136
НСК Галерея BOX;403;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;2;0;0;1;1405,51;1686,612;1405,51;1686,612
МСК Океания BOX;406;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;13;0;1;1;9845,15;11814,18;9845,15;11814,18
РЦ Казахстан;777;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;31;0;0;1;23030,97425;25794,69116;117456,43;131551,2016
РЦ Казахстан;777-БРК;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;10;0;0;1;6526,328631;7309,488067;33283,84;37277,9008
РЦ Казахстан;777-ИМПЭТР;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;0;0;0;0;412832,5923;462372,5034;2105418,64;2358068,877
РЦ Казахстан;777-ИМП-Э;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Казахстан;0;0;0;0;799,2300776;895,1376869;4076,02;4565,1424
Мнс РЦ;810;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Беларусь;17;0;0;1;13075,48721;15690,58465;466,95;560,34
РЦ Москва FM;925;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;7341;5208;63;1;5203206,93;6243848,316;5203206,93;6243848,316
РЦ Москва FM;925-КАР;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;12;0;0;1;8441,2;10129,44;8441,2;10129,44
РЦ Москва FM;925-НИЗ;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;12;0;0;1;8441,2;10129,44;8441,2;10129,44
РЦ Москва FM;925-Катар;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;0;35;0;0;0;0;0;0
РЦ Москва FM;925-ТРН;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;0;0;85;0;59130,12;70956,144;59130,12;70956,144
МСК Авиапарк магазин;148;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;0;4;0;0;0;0;0;0
ХБР Броско Молл;161;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;0;4;0;0;0;0;0;0
ПРМ Планета;175;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;6;0;0;1;2923,38;3508,056;2923,38;3508,056
ПРМ Планета;174;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;3;0;0;1;1461,69;1754,028;1461,69;1754,028
МСК Европолис;176-ИНВ;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;-1;0;0;0;-649,9;-779,88;-649,9;-779,88
МСК Неглинная;184-ИНВ;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;-1;0;0;0;-649,89;-779,868;-649,89;-779,868
KZ ШМК Шымкент Плаза;194;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Казахстан;3;0;0;1;1746,895433;1956,522885;8909,05;9978,136
KZ АЛМ Мега;196;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Казахстан;4;0;0;1;2338,501222;2619,121369;11926,2;13357,344
KZ АЛМ Мега;195;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Казахстан;1;0;0;1;582,2978241;652,173563;2969,68;3326,0416
KZ АЛМ Достык Плаза;198;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Казахстан;10;0;0;1;5866,35528;6570,317913;29918,02;33508,1824
KZ АСТ Мега;199;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Казахстан;3;0;0;1;2168,983315;2429,261313;11061,67;12389,0704
KZ АСТ Мега;200;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Казахстан;2;0;0;1;1435,2639;1607,495568;7319,75;8198,12
Интернет-магазин ФМ;225;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;0;1;0;0;0;0;0;0
Склад FM;232-КАР;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;3;0;0;1;1499,76;1799,712;1499,76;1799,712
Склад FM;232;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;0;0;9;0;4103,66;4924,392;4103,66;4924,392
ИМ Беларусь;250;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Беларусь;1;0;0;1;620,802123;744,9625476;22,17;26,604
ИМ Казахстан;277;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Казахстан;2;0;0;1;1325,28991;1484,324699;6758,89;7569,9568
ЕКБ Видеостудия;306;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;4;0;0;1;1948,92;2338,704;1948,92;2338,704
МСК Ангара BOX;401;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Россия;1;0;0;1;592,75;711,3;592,75;711,3
РЦ Казахстан;777;19000043627;Ночной SOS-бальзам с цветочными экстрактами Salvation Night Balm;7640399230737;OKOLO;Уход;Уход за лицом;Казахстан;3;0;0;1;1757,358315;1968,241313;8962,41;10037,8992
КЗН Пушкина;107;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;24;0;0;1;11939,46;14327,352;11939,46;14327,352
КЗН Пушкина;117;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;19;0;1;1;10492,82;12591,384;10492,82;12591,384
НСК Красный;118;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;44;0;0;1;23359,6;28031,52;23359,6;28031,52
НСК Красный;108;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;0;0;0;0;-1022,18;-1226,616;-1022,18;-1226,616
ЕКБ Пассаж;120;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;4;0;0;1;2053,1;2463,72;2053,1;2463,72
ЕКБ Пассаж;110;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;0;7;0;0;0;0;0;0
ЕКБ Большой;111;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;36;0;0;1;18471,97;22166,364;18471,97;22166,364
ЕКБ Большой;119;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;14;0;0;1;7186,91;8624,292;7186,91;8624,292
МСК Кунцево;114;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;20;0;0;1;10657,3;12788,76;10657,3;12788,76
МСК Афимолл;116;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;35;0;0;1;17898,12;21477,744;17898,12;21477,744
САМ Коммунистическая;123;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;9;0;0;1;4694,11;5632,932;4694,11;5632,932
САМ Коммунистическая;122;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;8;0;0;1;4469,1;5362,92;4469,1;5362,92
РНД Горизонт;127;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;23;0;0;1;11783,59;14140,308;11783,59;14140,308
РНД Горизонт;126;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;16;0;0;1;8209,71;9851,652;8209,71;9851,652
ЧЛБ Сони Кривой;135;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;21;0;0;1;10775,63;12930,756;10775,63;12930,756
КРК Планета;136;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;37;0;0;1;18984,98;22781,976;18984,98;22781,976
КРК Планета;137;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;13;0;0;1;6670,36;8004,432;6670,36;8004,432
УФА Планета магазин;139;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;9;0;0;1;4618,55;5542,26;4618,55;5542,26
МСК Метрополис;142;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;5;0;0;1;2717,71;3261,252;2717,71;3261,252
МСК Метрополис;141;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;0;15;0;0;0;0;0;0
МСК Европейский магазин;145;19000043628;OKOLO Маска SOS для рук и лица Hero Repair Mask 50мл;7640399230799;OKOLO;Уход;Уход за руками;Россия;8;0;1;1;4712,17;5654,604;4712,17;5654,604
